name,algo,imbalance,calibration,search_iter,auprc,roc_auc,brier,recall_at_topk_frac,fpr_target,recall_at_fpr_target,precision_at_fpr_target,threshold_at_fpr_target,cm_tn_fpr_target,cm_fp_fpr_target,cm_fn_fpr_target,cm_tp_fpr_target,f1_best,recall_best_f1,precision_best_f1,threshold_best_f1,cm_tn_best_f1,cm_fp_best_f1,cm_fn_best_f1,cm_tp_best_f1
lightgbm_smote,lightgbm,smote,none,10.0,0.8217340387438477,0.9791239807166502,0.0005367557418452806,0.8631578947368421,0.009532047095373426,0.8631578947368421,0.13183279742765272,0.009003349249409818,56111,540,13,82,0.8409090909090909,0.7789473684210526,0.9135802469135802,0.8573238418650168,56644,7,21,74
lightgbm_smoteenn,lightgbm,smoteenn,none,10.0,0.7270394626199396,0.9746591549923864,0.0009482580038364946,0.8526315789473684,0.0030890893364636106,0.8526315789473684,0.31640625,0.1440712852331005,56476,175,14,81,0.7956989247311828,0.7789473684210526,0.8131868131868132,0.8033671056978183,56634,17,21,74
lightgbm_class_weight,lightgbm,class_weight,none,10.0,0.7095144882506482,0.9785103435717677,0.0033130824200726526,0.8631578947368421,0.007696245432560767,0.8631578947368421,0.1583011583011583,0.2303764154648676,56215,436,13,82,0.7912087912087912,0.7578947368421053,0.8275862068965517,0.8855523606051839,56636,15,23,72
baseline,,,,,0.6752742071722466,0.9648049135565963,0.022574586471790097,0.8631578947368421,0.0091790083140633,0.8631578947368421,0.1362126245847176,0.7453951681492815,56131,520,13,82,0.8114285714285714,0.7473684210526316,0.8875,0.9999999273615885,56642,9,24,71
